Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
CMC_MSSM_083	0.603923491599725	0.0880584713484859	0.148582081291021	0.00322569677344961	0.156210258987318	9999	0.504999159300112	0.914395439697912
CMC_MSSM_084	0.722439819653709	0.114425047353717	0.0540120771716439	0	0.10912305582093	9999	0.506104583495527	0.925077914428008
CMC_MSSM_085	0.651082518606592	0.12283047734277	0.140242427266279	0	0.0858445767843591	9999	0.633015348509076	0.795663447837011
CMC_MSSM_086	0.194775317864058	0.415253805495456	0.169623488336092	0	0.220347388304394	9999	0.415255204796003	0.981498481021669
CMC_MSSM_087	0.561128414389814	0.108206543445799	0.194735286724796	0	0.135929755439591	9999	0.320722662877449	1.05973646692422
CMC_MSSM_088	0.687937249017884	0.108997567266993	0.113750244963396	0.000666122065948987	0.0886488166857782	9999	0.606561023575646	0.825330523447694
CMC_MSSM_089	0.490713327401268	0.162916405312958	0.183593335555691	0.035079231278729	0.127697700451353	9999	0.385536910623241	1.00258418368146
CMC_MSSM_090	0.150911582770875	0.421390348233564	0.324070689412013	0	0.103627379583548	9999	0.671690966412602	0.750063525593045
CMC_MSSM_092	0.222578631137049	0.259526541665847	0.399953452822998	0	0.117941374374106	9999	0.570873698315843	0.846511353581967
CMC_MSSM_093	0.724562390324738	0.110990978064216	0.083345926170343	0	0.0811007054407028	9999	0.607347649404185	0.827838707906756
CMC_MSSM_094	0.531982366345491	0.0896652470349613	0.240151872724794	0.00375392352927771	0.134446590365476	9999	0.573348790119694	0.848092140434677
CMC_MSSM_095	0.550563273649258	0.106509352168252	0.181584411573516	0.0130099057661729	0.148333056842801	9999	0.376173966211466	1.01598253229392
CMC_MSSM_096	0.0581828693688201	0.353799170498058	0.464958703638265	0.0435601646493104	0.0794990918455457	9999	0.41071915180375	0.992528808603782
CMC_MSSM_097	0.665473957677028	0.213970488590647	0.0522733244250359	0	0.0682822293072886	9999	0.440372381623169	0.976297566935557
CMC_MSSM_098	0.640140882107371	0.0905581623468364	0.185832484306327	0	0.0834684712394656	9999	0.427818970940085	0.98367018377291
CMC_MSSM_099	0.69056389652904	0.093771998657938	0.144702268058654	0	0.0709618367543679	9999	0.335857977097688	1.06351807975576
CMC_MSSM_100	0.639914041345052	0.0862545810608265	0.105856661061625	0.00714205291764107	0.160832663614856	9999	0.500410830231173	0.921787601969819
CMC_MSSM_101	0.271302437213805	0.447301919983625	0.186259261076641	0	0.0951363817259291	9999	0.624981519167848	0.796958040844488
CMC_MSSM_104	0.56305127385616	0.109780372863772	0.190629647265679	0	0.136538706014389	9999	0.483001625185423	0.929965168660529
CMC_MSSM_105	0.483080709164614	0.198996093877417	0.18971841293214	0.000890347932702587	0.127314436093126	9999	0.447217616517673	0.953926066466995
CMC_MSSM_106	0.648176893043473	0.125935211910532	0.113997744891757	0	0.111890150154239	9999	0.374685389672479	1.02694786759632
CMC_MSSM_107	0.0991612059186033	0.494739959477273	0.258011753107749	0	0.148087081496375	9999	0.548681261710006	0.874055532002906
CMC_MSSM_108	0.143866490810622	0.331085324411992	0.350730419032529	0	0.174317765744857	9999	0.464538073596118	0.94016095619917
CMC_MSSM_109	0.654353368230791	0.103851142702562	0.15331535193133	0	0.0884801371353169	9999	0.625371280512874	0.803873691200366
CMC_MSSM_110	0.444917083094712	0.252087132243767	0.242041510310628	0.0144775611449021	0.0464767132059916	9999	0.419947778257226	0.975108458376361
CMC_MSSM_111	0.643909684135103	0.0798998286475129	0.186791714316179	0	0.0893987729012051	9999	0.499234455500858	0.92309474960263
CMC_MSSM_113	0.42612992915705	0.229619281171677	0.226202394145082	0.0149144432403347	0.103133952285857	9999	0.623739780202825	0.795345662839267
CMC_MSSM_115	0.708113665729656	0.071954726298284	0.143662954549913	0	0.0762686534221473	9999	0.452872904242221	0.970494390661179
CMC_MSSM_116	0.599921671330652	0.206316032239979	0.11318288750303	0.00177215521886353	0.0788072537074754	9999	0.371514655990941	1.02403212907141
CMC_MSSM_117	0.356684069762304	0.224451314649531	0.299455267434472	0.0121618004314084	0.107247547722284	9999	0.388988397329114	0.996161206571801
CMC_MSSM_118	0.608947314446409	0.139469847796227	0.151090383499141	0	0.100492454258222	9999	0.628950656718068	0.797164835463928
CMC_MSSM_119	0.679498900841521	0.125939130604161	0.113218826116264	0	0.0813431424380538	9999	0.630165556091229	0.800565831514359
CMC_MSSM_120	0.662844739947099	0.0924442018812907	0.162069890722481	0	0.0826411674491288	9999	0.394927931924567	1.01298328954742
CMC_MSSM_121	0.590244232654359	0.0381671563861398	0.251554094728435	0	0.120034516231067	9999	0.455101592118219	0.958679561460062
CMC_MSSM_122	0.534125640675864	0.112242425854383	0.209815913498985	0	0.143816019970768	9999	0.322619260702579	1.05595226302799
CMC_MSSM_123	0.777223924998443	0.0582058984867857	0.0841574898957601	0	0.0804126866190107	9999	0.504959929825013	0.93345291157921
CMC_MSSM_124	0.605707182931558	0.20239452628157	0.111328440214922	0	0.0805698505719509	9999	0.592797273177717	0.832840306580807
CMC_MSSM_128	0.675158795347676	0.158724074645365	0.0489088320033826	0	0.117208298003577	9999	0.552154960498664	0.877535018622344
CMC_MSSM_130	0.601031992590145	0.117366036072814	0.169372934812566	0	0.112229036524475	9999	0.600876717429101	0.824762963528437
CMC_MSSM_131	0.550103463765713	0.126266584203337	0.255550960565042	0	0.0680789914659077	9999	0.278094440910466	1.09123323052428
CMC_MSSM_132	0.590818260367467	0.177946529784671	0.130587769212242	0.00868549588533785	0.0919619447502822	9999	0.27213080843631	1.09750912237926
CMC_MSSM_133	0.684233077177586	0.103692097320327	0.0975244255112959	0	0.114550399990792	9999	0.609732716482791	0.822041407493227
CMC_MSSM_136	0.564834603975534	0.0955372321887033	0.205100360658504	0.0467863541011177	0.0877414490761408	9999	0.367326000083221	1.02357814165353
CMC_MSSM_137	0.347634385970136	0.242522890692896	0.30831786792626	0	0.101524855410709	9999	0.467717621670573	0.934072999828043
CMC_MSSM_138	0.594392132379043	0.166776962345685	0.137466558270067	0.00921217963086494	0.0921521673743394	9999	0.421116151468113	0.983218319601503
CMC_MSSM_139	0.422666045299224	0.11639326364493	0.127720007385113	0.10490049489189	0.228320188778842	9999	0.355146352883836	1.02427081987562
CMC_MSSM_140	0.657852380474152	0.0906300215553292	0.13759201698672	0	0.113925580983799	9999	0.595634019985384	0.834053935306591
CMC_MSSM_142	0.469756035304537	0.118490925657778	0.302004512762932	0	0.109748526274753	9999	0.449147454482506	0.954189246101021
CMC_MSSM_143	0.748391335795007	0.0713222495023168	0.121236054475266	0	0.0590503602274095	9999	0.591054029875887	0.847000443859903
CMC_MSSM_146	0.572372610498706	0.161800523187749	0.139446772510406	0.00566424583715322	0.120715847965985	9999	0.54535232405144	0.874832455653078
CMC_MSSM_147	0.0707215958458587	0.420758835183628	0.401864589644522	0	0.106654979325991	9999	0.299707844251813	1.07933004000762
CMC_MSSM_149	0.236491390945439	0.263813817104944	0.370503043699096	0	0.12919174825052	9999	0.611228501708814	0.807843940879765
CMC_MSSM_150	0.0758870809062895	0.448897139109434	0.299585690099477	0.0127743794985718	0.162855710386228	9999	0.262421404019454	1.10362652893215
CMC_MSSM_151	0.287337183358846	0.216584620196168	0.408458975646808	0	0.087619220798177	9999	0.416468578694324	0.978421855449173
CMC_MSSM_159	0.642425934649612	0.0880417456686944	0.196321810895375	0	0.0732105087863183	9999	0.586700018173948	0.841953565271722
CMC_MSSM_160	0.2010828713555	0.373103914743455	0.289830331712059	0	0.135982882188986	9999	0.597471580653544	0.821656672575362
CMC_MSSM_161	0.613983412223176	0.132275329969303	0.137038255148023	0	0.116703002659498	9999	0.38635470433861	1.01366094744846
CMC_MSSM_163	0.597478616780789	0.217356705523493	0.109587413146076	0	0.0755772645496425	9999	0.609143880265903	0.816535454394726
CMC_MSSM_166	0.607985395724475	0.109872516560933	0.205415772511827	0	0.0767263152027655	9999	0.355612661003502	1.03804980230235
CMC_MSSM_168	0.550948382755953	0.209074732587749	0.1205695855033	0.0118185302006586	0.107588768952338	9999	0.460788578258222	0.947056593630868
CMC_MSSM_169	0.387010221490244	0.269409899009434	0.251452360738386	0	0.0921275187619357	9999	0.343781135464852	1.03162287933568
CMC_MSSM_171	0.409675242990629	0.1728713901398	0.334902202531917	0.0117611295847358	0.0707900347529183	9999	0.364786103147663	1.01830169898881
CMC_MSSM_172	0.56354385610362	0.0860107909731539	0.246624066766387	0	0.103821286156839	9999	0.43663642630983	0.970181099114705
CMC_MSSM_173	0.703836872253158	0.0906266756208527	0.126360944078669	0	0.0791755080473204	9999	0.641101660173714	0.791262193024664
CMC_MSSM_174	0.693233546058791	0.114099361126998	0.114491771681393	0	0.0781753211328183	9999	0.57239727628875	0.859378695023943
CMC_MSSM_175	0.239200042619987	0.247668508576887	0.266194568725779	0.0341175578084988	0.212819322268847	9999	0.59291748515698	0.823155105092552
CMC_MSSM_177	0.895051865308652	0	0.0467993984191468	0	0.0581487362722015	9999	0.447586083829434	1.00698596009746
CMC_MSSM_178	0.63070469833326	0.090420330612112	0.192981150020178	0	0.0858938210344493	9999	0.624093636778123	0.80398966896698
CMC_MSSM_179	0.417038609203231	0.227116852800413	0.257778716622161	0.00422268910631248	0.0938431322678826	9999	0.306139980426496	1.05994298501149
CMC_MSSM_180	0.39541361818302	0.427014360506332	0.117011687059067	0	0.0605603342515803	9999	0.460339782467904	0.947473417815235
CMC_MSSM_182	0.669618052514714	0.0899922893101923	0.123213435748063	0	0.117176222427031	9999	0.616602133269859	0.814058379319718
CMC_MSSM_183	0.62628961383758	0.156132189852836	0.104201937043714	0	0.11337625926587	9999	0.371860496106939	1.02652676275967
CMC_MSSM_184	0.70181163890681	0.0927548264169927	0.126263081698629	0	0.0791704529775679	9999	0.450942245899372	0.970905543575938
CMC_MSSM_185	0.163989083446812	0.449011891671533	0.283857502183034	0	0.103141522698621	9999	0.633004048157086	0.789992351418484
CMC_MSSM_186	0.677243640037637	0.086696256807836	0.13964188398065	0	0.0964182191738767	9999	0.451623567635524	0.967532814691175
CMC_MSSM_187	0.705795442133704	0.119369622422497	0.069809803502631	0	0.105025131941168	9999	0.538568743409007	0.893046247332309
CMC_MSSM_188	0.536753715618403	0.101365373483484	0.241407801385154	0	0.120473109512959	9999	0.60540840365917	0.817680791426994
CMC_MSSM_190	0.707075192994025	0.151741449549099	0.0489507616086702	0	0.0922325958482049	9999	0.630401794068047	0.802839216283086
CMC_MSSM_192	0.577886245786764	0.112297933176172	0.221719884823864	0	0.0880959362132011	9999	0.620941259149763	0.804122591734946
CMC_MSSM_193	0.607471886526032	0.0355421231862474	0.258281986182012	0	0.0987040041057083	9999	0.432132197014891	0.979800704928071
CMC_MSSM_194	0.360017505706669	0.209802612341641	0.224010068382607	0.0488424082552828	0.157327405313801	9999	0.588861050992426	0.826532064440005
CMC_MSSM_196	0.477171148313899	0.310147845696958	0.126536043006953	0	0.0861449629821902	9999	0.396728882589038	0.996571413626446
CMC_MSSM_197	0.588839522633277	0.122700613379168	0.199636778804081	0	0.0888230851834739	9999	0.640773301170871	0.784394986872658
CMC_MSSM_198	0.756707914666894	0.0454726892015042	0.123285321608981	0	0.0745340745226215	9999	0.46078207945482	0.97064423473055
CMC_MSSM_199	0.301974893066921	0.376622847515003	0.245924306001375	0	0.0754779534167015	9999	0.50936505644947	0.900935788082485
CMC_MSSM_200	0.396220808318715	0.287704640732424	0.231908048311702	0	0.0841665026371582	9999	0.250979077302814	1.09952424006044
CMC_MSSM_201	0.39685517672515	0.279647250531673	0.211396995810017	0	0.11210057693316	9999	0.366169584241787	1.01475230891816
CMC_MSSM_203	0.578279517860937	0.108796006641022	0.227975495143324	0	0.0849489803547177	9999	0.599096106839508	0.825727613954858
CMC_MSSM_204	0.040772762898066	0.593915995667243	0.22998795678428	0	0.135323284650412	9999	0.526033191916446	0.904754328220646
